Date,Day Mean Sentiment
2022-6-24,0.07065846759756539
2022-6-25,0.07094283672740269
2022-6-26,0.071006450463293
2022-6-27,0.07139312300602628
2022-6-28,0.07170190007037303
2022-6-29,0.07241635791681235
2022-6-30,0.07314335300242977
2022-7-1,0.07339741200828163
2022-7-2,0.07314383608815433
2022-7-3,0.07311095090971513
2022-7-4,0.07287660738714097
2022-7-5,0.07296788147138972
2022-7-6,0.07266815415821506
2022-7-7,0.07314974738969356
2022-7-8,0.0728621232417951
2022-7-9,0.07258840240641717
2022-7-10,0.07244312875250172
2022-7-11,0.07230615079365085
2022-7-12,0.07247270039421817
2022-7-13,0.0726007523716062
2022-7-14,0.07241727391021477
2022-7-15,0.07250414642047301
2022-7-16,0.07238111254851234
2022-7-17,0.07221892153697132
2022-7-18,0.07146905526992293
